set	t_s	kind	node	sensor	note	ch	vel_emitted	dt_ms
ff	25.49723505973816	ON	2	9	A4(69)	3	115	4.9
ff	25.49723982810974	OFF	2	20	G#5(80)	3	101	21.6
ff	25.497243881225586	OFF	2	21	A5(81)	3	96	28.3
ff	25.54742193222046	OFF	2	11	B4(71)	3	111	11.6
ff	25.547427892684937	OFF	2	9	A4(69)	3	94	29.9
ff	25.54744291305542	OFF	2	10	A#4(70)	3	100	23.3
ff	25.597776889801025	OFF	2	12	C5(72)	3	91	34.9
ff	25.597786903381348	ON	2	25	C#6(85)	3	115	3.3
ff	25.597790002822876	ON	2	22	A#5(82)	3	115	3.3
ff	25.597792863845825	ON	2	24	C6(84)	3	115	4.9
ff	25.597795963287354	ON	2	21	A5(81)	3	115	4.9
ff	25.597797870635986	ON	2	23	B5(83)	3	115	1.6
ff	25.597800970077515	ON	2	26	D6(86)	3	114	8.3
ff	25.597803115844727	OFF	2	14	D5(74)	3	77	68.3
ff	25.59780478477478	ON	2	19	G5(79)	3	115	3.3
ff	25.649311065673828	OFF	2	21	A5(81)	3	107	14.9
ff	25.649324893951416	OFF	2	23	B5(83)	3	112	9.9
ff	25.64933204650879	ON	2	14	D5(74)	3	115	3.3
ff	25.649338006973267	OFF	2	19	G5(79)	3	97	26.6
ff	25.649343013763428	ON	2	12	C5(72)	3	115	3.3
ff	25.64934778213501	ON	2	13	C#5(73)	3	115	1.6
ff	25.64935302734375	ON	2	9	A4(69)	3	115	3.3
ff	25.649357795715332	ON	2	11	B4(71)	3	115	1.6
ff	25.649366855621338	ON	2	7	G4(67)	3	115	3.3
ff	25.6493718624115	OFF	2	22	A#5(82)	3	93	31.6
ff	25.70048689842224	OFF	2	24	C6(84)	3	96	28.3
ff	25.70049786567688	OFF	2	7	G4(67)	3	115	6.6
ff	25.700500965118408	OFF	2	26	D6(86)	3	84	48.3
ff	25.700504779815674	OFF	2	25	C#6(85)	3	103	19.9
ff	25.752496004104614	OFF	2	11	B4(71)	3	112	9.9
ff	25.752501726150513	OFF	2	13	C#5(73)	3	104	18.3
ff	25.752503871917725	ON	2	29	F6(89)	3	115	4.9
ff	25.75252389907837	OFF	2	14	D5(74)	3	94	29.9
ff	25.75261402130127	ON	2	28	E6(88)	3	115	4.9
ff	25.752618074417114	OFF	2	12	C5(72)	3	94	29.9
ff	25.752620935440063	ON	2	27	D#6(87)	3	115	1.6
ff	25.752622842788696	ON	2	25	C#6(85)	3	115	4.9
ff	25.807154893875122	ON	2	21	A5(81)	3	112	9.9
ff	25.807164907455444	ON	2	26	D6(86)	3	112	9.9
ff	25.807168006896973	ON	2	24	C6(84)	3	93	31.6
ff	25.807169914245605	OFF	2	9	A4(69)	3	93	31.6
ff	25.858196020126343	OFF	2	21	A5(81)	3	96	28.3
ff	25.858206033706665	OFF	2	24	C6(84)	3	75	94.9
ff	25.91331386566162	OFF	2	26	D6(86)	3	82	53.3
ff	25.913341999053955	OFF	2	29	F6(89)	3	94	29.9
ff	25.913344860076904	OFF	2	25	C#6(85)	3	103	19.9
ff	25.913347959518433	OFF	2	27	D#6(87)	3	109	13.3
ff	25.913349866867065	OFF	2	28	E6(88)	3	93	31.6
ff	26.17885708808899	ON	1	8	C#2(37)	3	115	1.6
ff	26.178892850875854	ON	1	5	A#1(34)	3	115	1.6
ff	26.178895950317383	ON	1	6	B1(35)	3	115	1.6
ff	26.17889904975891	ON	1	9	D2(38)	3	115	3.3
ff	26.17890191078186	ON	1	7	C2(36)	3	115	1.6
ff	26.178902864456177	ON	1	12	F2(41)	3	115	6.6
ff	26.178905963897705	ON	1	11	E2(40)	3	115	1.6
ff	26.178907871246338	ON	1	4	A1(33)	3	114	8.3
ff	26.17891001701355	ON	1	3	G#1(32)	3	114	8.3
ff	26.23015570640564	OFF	1	11	E2(40)	3	115	3.3
ff	26.230164051055908	OFF	1	4	A1(33)	3	100	23.3
ff	26.230166912078857	ON	2	1	C#4(61)	3	115	3.3
ff	26.230170011520386	ON	2	3	D#4(63)	3	115	3.3
